Symbol
AAPL
MSFT
NVDA
AMZN
GOOGL
GOOG
META
BRK.B
AVGO
TSLA
JPM
LLY
V
UNH
XOM
MA
PG
COST
HD
JNJ
NFLX
ABBV
BAC
CRM
WMT
KO
MRK
CVX
PEP
AMD
ADBE
LIN
TMO
ACN
MCD
CSCO
ABT
WFC
IBM
GE
DHR
PM
NOW
INTU
TXN
CAT
VZ
DIS
AMGN
NEE
